ID,Name,DOB,Major Code,Score
1,  Hayden Butler, 07/03/1960,4,42
2,  Isaiah Blankenship, 10/24/1975,5,68
3,  Eden Pierce, 02/12/1975,7,97
4,  Lysandra Rodgers, 03/29/1970,5,88
5,  Fatima Pace, 08/10/1972,7,53
6,  Shaeleigh Nelson, 05/19/1968,2,32
7,  Mariam Leonard, 11/28/1963,1,67
8,  Aladdin Cherry, 02/22/1987,1,39
9,  Stephanie Hogan, 10/24/1969,2,32
10,  Brenden Rowland, 02/26/1990,4,92
11,  Ulysses Bush, 05/09/1980,5,63
12,  Aristotle Garrison, 04/10/1970,1,93
13,  Glenna York, 06/04/1963,2,65
14,  Britanni Cantrell, 03/05/1951,4,68
15,  India Larson, 06/13/1977,5,43
16,  Aretha Cotton, 02/15/1955,1,38
17,  Malachi Lynch, 07/04/1967,1,62
18,  Genevieve Hamilton, 08/17/1950,2,33
19,  Althea Ellis, 12/06/1974,3,78
20,  Carter Carver, 02/25/1953,4,46
21,  Cullen Tyler, 11/30/1961,4,40
22,  Denise Johns, 10/03/1976,1,44
23,  Cameron Blair, 03/18/1969,6,32
24,  Karen Dean, 08/14/1979,4,92
25,  Yoshi Blackburn, 03/06/1979,2,62
26,  Inez Gentry, 06/29/1951,2,67
27,  Aaron Hogan, 06/23/1968,6,86
28,  Uriah Dunlap, 06/04/1974,2,50
29,  Theodore Young, 10/07/1973,7,98
30,  Oscar Morrison, 05/15/1976,5,82
31,  Kieran Lang, 01/18/1974,2,36
32,  Madeline Mann, 04/02/1959,4,50
33,  Jeanette Mcmillan, 10/23/1969,4,40
34,  Erich Barrera, 06/06/1963,5,32
35,  Preston Fields, 07/21/1950,7,39
36,  Jade Sutton, 01/17/1972,6,42
37,  Ann Carrillo, 03/03/1982,7,31
38,  Cynthia Christian, 09/01/1959,3,80
39,  Darius Kramer, 05/16/1964,2,82
40,  Tobias Wells, 05/04/1988,4,71
41,  Dante Tucker, 03/02/1978,5,90
42,  Germaine Sears, 03/09/1983,1,95
43,  Laurel Burris, 02/05/1955,1,30
44,  Cadman Hodges, 12/18/1950,6,86
45,  Leroy Pickett, 01/25/1970,3,41
46,  Lesley Collins, 01/07/1969,6,33
47,  Paul Cross, 01/21/1966,6,66
48,  Macaulay Nicholson, 04/23/1965,3,96
49,  Maxwell Gamble, 04/22/1971,5,32
50,  Phoebe Gardner, 10/01/1980,5,71
51,  Martin Travis, 10/11/1971,3,93
52,  Harding Banks, 11/08/1989,5,43
53,  Lionel Sexton, 04/20/1967,2,75
54,  Fatima Leblanc, 09/13/1988,5,75
55,  Ashely Sosa, 11/28/1977,1,84
56,  Kaden Mcmillan, 09/19/1983,2,94
57,  Ciaran Rodriquez, 05/03/1987,7,94
58,  Aretha Bullock, 06/18/1954,2,67
59,  Louis Stark, 08/14/1988,7,52
60,  Rajah Hunter, 01/25/1979,6,55
61,  Rhoda Pratt, 10/08/1968,3,79
62,  Jordan Nixon, 03/05/1987,6,79
63,  Iris Mccarty, 11/28/1954,5,43
64,  Otto Guthrie, 12/05/1956,3,55
65,  Clark Franklin, 04/22/1961,4,89
66,  Tobias Dorsey, 05/25/1976,3,56
67,  Cody Bauer, 06/27/1990,7,79
68,  Jaquelyn Combs, 05/17/1964,1,33
69,  Emerson Parrish, 04/12/1966,1,71
70,  Alexis Heath, 03/20/1956,5,41
71,  Rogan Best, 06/03/1989,4,34
72,  Uma Moon, 10/26/1950,5,34
73,  Pascale Cohen, 11/07/1950,5,60
74,  Vivien Thornton, 04/13/1987,5,86
75,  Avye Le, 01/09/1956,6,67
76,  Hedley Salas, 07/25/1985,1,40
77,  Baxter Christian, 08/13/1967,2,50
78,  Irene Cote, 10/19/1970,2,44
79,  Grady Cooke, 01/22/1950,4,93
80,  Mallory Fitzpatrick, 05/02/1986,4,59
81,  Kenyon Paul, 01/07/1963,6,30
82,  Denise Conrad, 02/24/1973,5,67
83,  Jena Navarro, 04/03/1971,5,71
84,  Reuben Walters, 10/12/1980,7,53
85,  Judith Marquez, 11/28/1956,6,35
86,  Travis Barnes, 05/18/1984,5,87
87,  Clark Burnett, 12/04/1950,1,34
88,  Lisandra Mcclain, 09/20/1980,6,49
89,  Xantha Conway, 07/30/1951,6,94
90,  MacKenzie Oneal, 12/21/1966,7,75
91,  David Farmer, 04/09/1961,2,58
92,  Matthew Gray, 02/24/1952,3,86
93,  Lael Simpson, 05/07/1968,6,49
94,  Tyler Alexander, 04/05/1961,6,41
95,  Andrew Rocha, 09/01/1986,3,87
96,  Imani Miller, 09/27/1958,3,39
97,  Maile Pittman, 06/13/1964,1,61
98,  Lucy Morin, 11/04/1985,5,30
99,  Fuller Savage, 03/07/1972,7,85
100,  Jessamine Colon, 08/19/1964,3,69
